date,dcoilwtico
2020-01-01,
2020-01-02,93.14
2020-01-03,92.97
2020-01-04,93.12
2020-01-07,93.2
2020-01-08,93.21
2020-01-09,93.08
2020-01-10,93.81
2020-01-11,93.6
2020-01-14,94.27
2020-01-15,93.26
2020-01-16,94.28
2020-01-17,95.49
2020-01-18,95.61
2020-01-21,
2020-01-22,96.09
2020-01-23,95.06
2020-01-24,95.35
2020-01-25,95.15
2020-01-28,95.95
2020-01-29,97.62
2020-01-30,97.98
2020-01-31,97.65
2020-02-01,97.46
2020-02-04,96.21
2020-02-05,96.68
2020-02-06,96.44
2020-02-07,95.84
2020-02-08,95.71
2020-02-11,97.01
2020-02-12,97.48
2020-02-13,97.03
2020-02-14,97.3
2020-02-15,95.95
2020-02-18,
2020-02-19,96.69
2020-02-20,94.92
2020-02-21,92.79
2020-02-22,93.12
2020-02-25,92.74
2020-02-26,92.63
2020-02-27,92.84
2020-02-28,92.03
2020-03-01,90.71
2020-03-04,90.13
2020-03-05,90.88
2020-03-06,90.47
2020-03-07,91.53
2020-03-08,92.01
2020-03-11,92.07
2020-03-12,92.44
2020-03-13,92.47
2020-03-14,93.03
2020-03-15,93.49
2020-03-18,93.71
2020-03-19,92.44
2020-03-20,93.21
2020-03-21,92.46
2020-03-22,93.41
2020-03-25,94.55
2020-03-26,95.99
2020-03-27,96.53
2020-03-28,97.24
2020-03-29,
2020-04-01,97.1
2020-04-02,97.23
2020-04-03,95.02
2020-04-04,93.26
2020-04-05,92.76
2020-04-08,93.36
2020-04-09,94.18
2020-04-10,94.59
2020-04-11,93.44
2020-04-12,91.23
2020-04-15,88.75
2020-04-16,88.73
2020-04-17,86.65
2020-04-18,87.83
2020-04-19,88.04
2020-04-22,88.81
2020-04-23,89.21
2020-04-24,91.07
2020-04-25,93.27
2020-04-26,92.63
2020-04-29,94.09
2020-04-30,93.22
2020-05-01,90.74
2020-05-02,93.7
2020-05-03,95.25
2020-05-06,95.8
2020-05-07,95.28
2020-05-08,96.24
2020-05-09,96.09
2020-05-10,95.81
2020-05-13,94.76
2020-05-14,93.96
2020-05-15,93.95
2020-05-16,94.85
2020-05-17,95.72
2020-05-20,96.29
2020-05-21,95.55
2020-05-22,93.98
2020-05-23,94.12
2020-05-24,93.84
2020-05-27,
2020-05-28,94.65
2020-05-29,93.13
2020-05-30,93.57
2020-05-31,91.93
2020-06-03,93.41
2020-06-04,93.36
2020-06-05,93.66
2020-06-06,94.71
2020-06-07,96.11
2020-06-10,95.82
2020-06-11,95.5
2020-06-12,95.98
2020-06-13,96.66
2020-06-14,97.83
2020-06-17,97.86
2020-06-18,98.46
2020-06-19,98.24
2020-06-20,94.89
2020-06-21,93.81
2020-06-24,95.07
2020-06-25,95.25
2020-06-26,95.47
2020-06-27,97
2020-06-28,96.36
2020-07-01,97.94
2020-07-02,99.65
2020-07-03,101.92
2020-07-04,
2020-07-05,103.09
2020-07-08,103.03
2020-07-09,103.46
2020-07-10,106.41
2020-07-11,104.77
2020-07-12,105.85
2020-07-15,106.2
2020-07-16,105.88
2020-07-17,106.39
2020-07-18,107.94
2020-07-19,108
2020-07-22,106.61
2020-07-23,107.13
2020-07-24,105.41
2020-07-25,105.47
2020-07-26,104.76
2020-07-29,104.61
2020-07-30,103.14
2020-07-31,105.1
2020-08-01,107.93
2020-08-02,106.94
2020-08-05,106.61
2020-08-06,105.32
2020-08-07,104.41
2020-08-08,103.45
2020-08-09,106.04
2020-08-12,106.19
2020-08-13,106.78
2020-08-14,106.89
2020-08-15,107.43
2020-08-16,107.58
2020-08-19,107.14
2020-08-20,104.9
2020-08-21,103.93
2020-08-22,104.93
2020-08-23,106.48
2020-08-26,105.88
2020-08-27,109.11
2020-08-28,110.17
2020-08-29,108.51
2020-08-30,107.98
2020-09-02,
2020-09-03,108.67
2020-09-04,107.29
2020-09-05,108.5
2020-09-06,110.62
2020-09-09,109.62
2020-09-10,107.48
2020-09-11,107.65
2020-09-12,108.72
2020-09-13,108.31
2020-09-16,106.54
2020-09-17,105.36
2020-09-18,108.23
2020-09-19,106.26
2020-09-20,104.7
2020-09-23,103.62
2020-09-24,103.22
2020-09-25,102.68
2020-09-26,103.1
2020-09-27,102.86
2020-09-30,102.36
2020-10-01,102.09
2020-10-02,104.15
2020-10-03,103.29
2020-10-04,103.83
2020-10-07,103.07
2020-10-08,103.54
2020-10-09,101.63
2020-10-10,103.08
2020-10-11,102.17
2020-10-14,102.46
2020-10-15,101.15
2020-10-16,102.34
2020-10-17,100.72
2020-10-18,100.87
2020-10-21,99.28
2020-10-22,97.63
2020-10-23,96.9
2020-10-24,96.65
2020-10-25,97.4
2020-10-28,98.74
2020-10-29,98.29
2020-10-30,96.81
2020-10-31,96.29
2020-11-01,94.56
2020-11-04,94.58
2020-11-05,93.4
2020-11-06,94.74
2020-11-07,94.25
2020-11-08,94.56
2020-11-11,95.13
2020-11-12,93.12
2020-11-13,93.91
2020-11-14,93.76
2020-11-15,93.8
2020-11-18,93.03
2020-11-19,93.35
2020-11-20,93.34
2020-11-21,95.35
2020-11-22,94.53
2020-11-25,93.86
2020-11-26,93.41
2020-11-27,92.05
2020-11-28,
2020-11-29,92.55
2020-12-02,93.61
2020-12-03,95.83
2020-12-04,96.97
2020-12-05,97.14
2020-12-06,97.48
2020-12-09,97.1
2020-12-10,98.32
2020-12-11,97.25
2020-12-12,97.21
2020-12-13,96.27
2020-12-16,97.18
2020-12-17,96.99
2020-12-18,97.59
2020-12-19,98.4
2020-12-20,99.11
2020-12-23,98.62
2020-12-24,98.87
2020-12-25,
2020-12-26,99.18
2020-12-27,99.94
2020-12-30,98.9
2020-12-31,98.17
2021-01-01,
2021-01-02,95.14
2021-01-03,93.66
2021-01-06,93.12
2021-01-07,93.31
2021-01-08,91.9
2021-01-09,91.36
2021-01-10,92.39
2021-01-13,91.45
2021-01-14,92.15
2021-01-15,93.78
2021-01-16,93.54
2021-01-17,93.96
2021-01-20,
2021-01-21,94.51
2021-01-22,96.35
2021-01-23,97.23
2021-01-24,96.66
2021-01-27,95.82
2021-01-28,97.49
2021-01-29,97.34
2021-01-30,98.25
2021-01-31,97.55
2021-02-03,96.44
2021-02-04,97.24
2021-02-05,97.4
2021-02-06,97.84
2021-02-07,99.98
2021-02-10,100.12
2021-02-11,99.96
2021-02-12,100.38
2021-02-13,100.27
2021-02-14,100.31
2021-02-17,
2021-02-18,102.54
2021-02-19,103.46
2021-02-20,103.2
2021-02-21,102.53
2021-02-24,103.17
2021-02-25,102.2
2021-02-26,102.93
2021-02-27,102.68
2021-02-28,102.88
2021-03-03,105.34
2021-03-04,103.64
2021-03-05,101.75
2021-03-06,101.82
2021-03-07,102.82
2021-03-10,101.39
2021-03-11,100.29
2021-03-12,98.29
2021-03-13,98.57
2021-03-14,99.23
2021-03-17,98.43
2021-03-18,100.08
2021-03-19,100.71
2021-03-20,99.68
2021-03-21,99.97
2021-03-24,100.05
2021-03-25,99.66
2021-03-26,100.61
2021-03-27,101.25
2021-03-28,101.73
2021-03-31,101.57
2021-04-01,99.69
2021-04-02,99.6
2021-04-03,100.29
2021-04-04,101.16
2021-04-07,100.43
2021-04-08,102.57
2021-04-09,103.55
2021-04-10,103.37
2021-04-11,103.68
2021-04-14,104.05
2021-04-15,103.7
2021-04-16,103.71
2021-04-17,104.33
2021-04-18,
2021-04-21,104.35
2021-04-22,101.69
2021-04-23,101.47
2021-04-24,102.2
2021-04-25,100.85
2021-04-28,101.13
2021-04-29,101.56
2021-04-30,100.07
2021-05-01,99.69
2021-05-02,100.09
2021-05-05,99.74
2021-05-06,99.81
